qz	intensity_normalized	e_intensity_normalized	intensity_fit
0.05088177522052997	0.004197896218763381	0.0004329377504027591	0.0038900522000924224
0.05380326424805184	0.0033000499733612325	0.00034168962766046836	0.003129369039228673
0.05672746816899431	0.0026563975749773943	0.0002761309361986386	0.0025542690972250276
0.05966107521173115	0.002194211473181915	0.00022895197274162536	0.002110000242728615
0.06258707129614793	0.0018106215987448075	0.00018970198433451894	0.0017628865632778967
0.06554480293203051	0.0015021276796312643	0.00015810763263557413	0.0014840705933733618
0.06846944534561925	0.0012767571655206598	0.0001349509489672479	0.001262041566891998
0.06908272528070555	0.0012810077537030676	0.00013033788090864197	0.001221011461182505
0.07139847294768357	0.0010876257608598932	0.00011548522795544794	0.0010806254988341786
0.07433080696362551	0.000925030441160713	9.872512434751162e-05	0.0009309133508014466
0.07723661820181378	0.0007924153815774008	8.501416124830503e-05	0.0008073716294041539
0.07919500573379885	0.0007480118400143665	7.649323787815255e-05	0.0007354799736779203
0.08015627651819038	0.0006776705324058446	7.310602482703755e-05	0.0007030832376387482
0.0830785733548575	0.0005973972430330091	6.48097359667935e-05	0.0006147595438916889
0.0892608703665816	0.0004667740751912557	4.8020891158864073e-05	0.0004681546101671819
0.0994065620168689	0.00029973758122428887	3.1055280357221223e-05	0.0003071117701197662
0.10952117469873739	0.00019805088890241277	2.068236074919787e-05	0.00020585595273786182
0.11961129118125224	0.0001323430380557089	1.3963043452600118e-05	0.00013955509997181978
0.12968922852229037	8.914251956737015e-05	9.517853309579735e-06	9.490288284728915e-05
0.13982151453751498	5.849689228935554e-05	6.3424894883753455e-06	6.415179608380308e-05
0.14992443558916918	4.068131807694591e-05	4.4853202496360634e-06	4.298269815214339e-05
0.1502061454860867	4.264111819863709e-05	4.3908646174406905e-06	4.2496852191681034e-05
0.16001335158585478	2.6339280695673966e-05	2.9708757565745475e-06	2.8356114310908267e-05
0.16019898203905522	2.8135594399379066e-05	2.91642410121437e-06	2.8134552447121488e-05
0.17015576429224102	1.6832747982573744e-05	1.9560266750278105e-06	1.8243186471655636e-05
